,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
111,Khatanga,98,RU,0,89,71.98,102.47,4.77,5.83
112,Chicama,90,PE,1559215397,83,-7.84,-79.15,21.0,4.6
113,Moerai,47,PF,1559234227,79,-22.43,-151.33,23.37,7.56
114,Kavieng,48,PG,1559246105,76,-2.57,150.8,29.07,5.32
115,Gusau,100,NG,1559192858,34,12.17,6.66,34.87,3.53
116,Zhigansk,0,RU,1559234281,85,66.77,123.37,2.07,5.06
117,Cervo,75,BR,1559208971,44,-22.19,-46.24,25.0,3.24
118,Tomatlan,93,MX,1559218893,61,19.93,-105.25,29.27,3.94
119,Cuamba,21,MZ,1559188316,67,-14.8,36.54,17.97,3.0
120,Mataura,39,NZ,1559247315,86,-46.19,168.86,4.77,1.77
121,Victoria,75,BN,1559253883,88,5.28,115.24,27.0,1.64
122,Bahia Blanca,100,AR,1559214995,46,-38.72,-62.27,12.47,3.65
123,Novyy Khushet,0,RU,1559178917,64,42.9,47.56,24.0,1.0
124,Murray Bridge,15,AU,1559252490,91,-35.12,139.28,11.67,1.79
125,Barcelona,0,ES,1559190097,72,41.38,2.18,23.33,6.2
126,Mount Isa,0,AU,1559250647,44,-20.73,139.49,14.0,6.2
127,Fuente Palmera,0,ES,1559192492,13,37.7,-5.1,34.0,2.6
128,Mahebourg,20,MU,1559183823,73,-20.41,57.7,21.0,1.5
129,Yulara,0,AU,1559253198,52,-25.24,130.99,7.0,3.1
130,Sorland,20,NO,0,66,67.67,12.69,9.0,5.7
131,Shakawe,0,BW,1559192213,27,-18.36,21.84,18.07,1.94
132,Makakilo City,1,US,1559231413,73,21.35,-158.09,26.0,2.1
133,Kawhia,100,NZ,1559244404,80,-38.07,174.82,16.67,4.92
134,Santa Maria,90,BR,1559211678,100,-29.69,-53.81,15.0,6.2
135,Aykhal,0,RU,1559238852,45,65.95,111.51,8.0,2.0
136,Kavaratti,93,IN,1559177184,76,10.57,72.64,29.97,4.08
137,Gwembe,22,ZM,1559190634,61,-16.5,27.61,14.17,0.99
138,San Lazaro,75,BZ,1559215119,75,18.04,-88.66,32.0,3.1
139,Pirovskoye,100,RU,1559163863,95,57.63,92.27,13.37,1.98
140,Jiexiu,19,CN,1559250902,18,37.02,111.92,16.97,2.81
141,Mataya,83,KE,1559187409,90,0.36,34.17,19.77,1.3
142,Faanui,42,PF,1559233688,68,-16.48,-151.75,27.07,2.08
143,Mawlaik,45,MM,1559170554,45,23.63,94.42,27.77,1.65
144,Flinders,0,AU,1559249634,65,-34.58,150.85,9.44,7.7
145,Yar-Sale,100,RU,1559160670,92,66.83,70.83,0.87,8.99
146,Brookhaven,90,US,1559208226,82,40.78,-72.92,18.33,3.1
147,East London,0,ZA,1559192497,88,-33.02,27.91,18.0,4.6
148,Lorengau,65,PG,1559246899,89,-2.02,147.27,25.87,2.54
149,Lebu,87,ET,1559185482,55,8.96,38.73,18.17,1.37
150,Simga,33,IN,1559173838,18,21.63,81.7,38.67,3.61
151,Vao,11,EE,1559178990,56,59.1,26.19,11.37,2.0
152,Rusape,6,ZW,1559189763,73,-18.53,32.12,11.07,2.75
153,Yerbogachen,100,RU,1559244395,47,61.28,108.01,7.97,2.88
154,Nemuro,0,JP,1559241685,78,43.32,145.57,10.87,3.73
155,Broome,40,GB,1559187596,73,52.47,1.45,22.78,4.6
156,Oliver,75,CA,1559217570,40,49.18,-119.55,22.0,2.1
157,Cidreira,100,BR,1559210877,85,-30.17,-50.22,17.07,6.91
158,Hudson Bay,37,CA,1559212378,38,52.86,-102.4,26.27,1.03
159,Semey,2,KZ,1559169310,51,50.41,80.25,16.07,3.01
160,Kamina,80,CD,1559190484,52,-8.74,25.0,22.67,1.89
161,Ewa Beach,1,US,1559231398,73,21.32,-158.01,26.0,2.1
162,Ostrovnoy,13,RU,0,49,68.05,39.51,11.17,5.32
163,San Quintin,97,PH,1559251368,78,17.54,120.52,26.47,1.33
164,Beloha,3,MG,1559187391,86,-25.17,45.06,19.47,2.85
165,Spanish Town,75,JM,1559212313,74,18.0,-76.95,28.0,7.7
166,Cherskiy,30,RU,0,62,68.75,161.3,7.67,2.9
167,Talaya,75,RU,1559166413,93,55.79,84.89,7.22,7.0
168,Bambanglipuro,55,ID,1559169937,80,-7.95,110.28,27.17,8.17
169,Skibbereen,75,IE,1559190451,82,51.55,-9.27,16.0,6.7
170,Haines Junction,38,CA,1559217295,31,60.75,-137.51,11.67,2.49
171,Banjar,91,ID,1559170299,96,-7.37,108.54,23.17,0.6
172,Aquiraz,98,BR,1559205233,86,-3.9,-38.39,27.22,0.89
173,Karratha,0,AU,1559256083,23,-20.74,116.85,22.57,6.79
174,Tambilil,56,PH,1559251553,74,5.96,124.67,27.97,2.04
175,Posse,22,BR,1559208143,45,-14.08,-46.36,29.67,1.34
176,Biryusinsk,1,RU,1559249575,55,55.96,97.82,13.87,2.16
177,Joshimath,31,IN,1559173242,25,30.57,79.57,11.97,3.29
178,Husavik,66,CA,1559211780,32,50.56,-96.99,22.78,1.79
179,Prince George,1,CA,1559216902,51,53.92,-122.75,20.56,2.1
180,Oranjestad,75,AW,1559211227,66,12.52,-70.03,31.0,6.7
181,Salo,0,FI,1559179012,50,60.38,23.13,13.33,6.2
182,Aksu,0,KZ,1559169627,50,52.04,76.93,14.0,6.0
183,Medea,0,DZ,1559190835,35,36.27,2.77,23.0,8.7
184,Fort Nelson,40,CA,1559214835,61,58.81,-122.69,10.0,2.1
185,Katsuura,75,JP,1559245965,68,33.93,134.5,22.0,4.6
186,Tiznit,0,MA,1559194787,80,29.7,-9.73,20.57,3.02
187,Elko,1,US,1559218495,67,40.83,-115.76,16.11,2.1
188,Stulovo,75,RU,1559177559,82,55.85,38.31,20.0,2.59
189,Dindori,0,IN,1559173836,19,22.94,81.08,31.57,0.89
190,Marzuq,36,YE,1559183075,22,14.4,46.47,30.47,1.11
191,Balvi,0,LV,1559179673,64,57.13,27.27,10.97,0.72
192,Pevek,1,RU,0,90,69.7,170.27,-1.14,0.89
193,Aripuana,72,BR,1559211081,39,-9.17,-60.63,34.17,1.32
194,Norman Wells,90,CA,1559210736,86,65.28,-126.83,5.0,1.5
195,Techiman,100,GH,1559195379,91,7.58,-1.94,24.87,3.62
196,Salmas,20,IR,1559180443,35,38.2,44.77,21.0,1.0
197,Ucluelet,90,CA,1559219072,100,48.94,-125.55,12.22,1.5
198,Berlevag,75,NO,0,80,70.86,29.09,5.0,9.3
199,Tuktoyaktuk,75,CA,0,79,69.44,-133.03,0.0,4.6
200,Terrace Bay,5,CA,1559209890,34,48.78,-87.1,11.0,5.1
201,Sobolevo,56,RU,1559179632,76,54.43,31.9,16.57,3.68
202,Grand-Lahou,99,CI,1559196341,89,5.24,-5.0,25.57,2.38
203,Ponta do Sol,34,BR,1559208742,64,-20.63,-46.0,25.07,1.79
204,Ixtapa,90,MX,1559218796,94,20.71,-105.21,25.0,2.6
205,Romanovka,0,RU,1559177914,68,51.74,42.76,20.17,2.01
206,Qaanaaq,15,GL,0,74,77.48,-69.36,0.67,0.9
207,Arkhangelskoye,95,RU,1559178250,86,54.46,37.62,18.87,1.75
208,Pesochnoye,97,RU,1559176417,86,58.01,39.18,12.27,2.17
209,Bredasdorp,90,ZA,1559194597,82,-34.53,20.04,15.0,2.6
210,Flin Flon,90,CA,1559211592,28,54.77,-101.88,8.0,3.6
211,Nikolskoye,0,RU,1559177565,26,59.7,30.79,15.0,3.0
212,Athabasca,12,CA,1559214347,32,54.72,-113.29,19.87,4.6
213,Talnakh,90,RU,0,100,69.49,88.39,1.0,6.0
214,Komsomolskiy,0,RU,0,94,67.55,63.78,-4.64,2.8
215,Anuppur,1,IN,1559173666,18,23.12,81.7,31.67,1.95
216,Wladyslawowo,0,PL,1559182739,23,54.79,18.4,19.44,5.1
217,Alto Araguaia,2,BR,1559210123,40,-17.32,-53.22,30.97,3.96
218,Opuwo,15,NA,1559194102,33,-18.06,13.84,21.47,1.65
219,Tabuk,100,PH,1559251161,97,17.41,121.44,19.27,1.02
220,Cusset,90,FR,1559188810,49,46.13,3.46,21.0,3.1
221,Moindou,100,NC,1559244465,100,-21.69,165.68,15.0,0.5
222,Rancho Mirage,1,US,1559219818,16,33.76,-116.42,30.56,4.12
223,North Bend,90,US,1559220025,93,43.41,-124.22,12.78,4.1
224,Bandrele,75,YT,1559186049,78,-12.91,45.19,27.0,5.1
225,Upernavik,0,GL,0,84,72.79,-56.15,0.17,2.43
226,Kaseda,100,JP,1559247330,60,31.42,130.32,20.56,1.34
227,Probolinggo,20,ID,1559169211,78,-7.74,113.22,27.0,2.6
228,Nanortalik,0,GL,1559195543,66,60.14,-45.24,4.97,3.05
229,Grindavik,20,IS,1559187348,50,63.84,-22.43,11.67,2.1
230,Simbahan,8,PH,1559252502,65,6.3,120.58,29.87,1.59
231,Progreso,90,UY,1559212929,66,-34.68,-56.22,12.78,5.1
232,Nantucket,90,US,1559207457,77,41.28,-70.1,15.56,3.1
233,Kandry,1,RU,1559174265,89,54.55,54.1,18.77,2.84
234,Havelock,1,US,1559210167,39,34.88,-76.9,35.56,4.6
235,Pak Phanang,95,TH,1559170789,85,8.35,100.2,27.17,1.43
236,Rasht,20,IR,1559179442,60,37.28,49.58,24.0,2.1
237,Pochutla,90,MX,1559217239,62,15.74,-96.47,30.56,1.78
238,Tuatapere,63,NZ,1559247583,64,-46.13,167.69,9.37,7.46
239,Samarai,95,PG,1559246918,92,-10.62,150.67,23.17,2.11
240,La Primavera,90,AR,1559215672,81,-32.92,-68.67,9.0,1.5
241,Hobyo,100,SO,1559183483,66,5.35,48.53,29.27,11.76
242,Carlibaba,76,RO,1559183270,70,47.58,25.13,15.0,0.89
243,Namatanai,85,PG,1559245816,87,-3.66,152.44,25.57,2.82
244,Bolshaya Dzhalga,0,RU,1559179433,47,45.97,42.7,23.67,3.78
245,Peleduy,76,RU,1559244262,60,59.63,112.75,3.17,1.25
246,Broken Hill,0,AU,1559251529,74,-31.97,141.45,4.0,0.5
247,Ukiah,1,US,1559220583,59,39.15,-123.21,22.78,1.69
248,Gorontalo,100,ID,1559252464,83,0.54,123.06,25.97,2.21
249,Hoa Binh,75,VN,1559168257,100,20.81,105.34,27.0,3.1
250,Soyo,75,AO,1559193263,83,-6.13,12.37,26.0,3.6
251,Shelburne,1,CA,1559209326,46,44.08,-80.2,23.89,5.1
252,Hornepayne,0,CA,1559209219,26,49.22,-84.78,12.27,4.27
253,Hofn,32,IS,1559185210,75,64.25,-15.21,1.97,2.81
254,Kerchevskiy,100,RU,1559171312,90,59.95,56.29,17.87,3.14
255,Vardo,75,US,1559209592,58,39.62,-77.74,30.56,1.5
256,Kosh-Agach,69,RU,1559167409,43,49.99,88.66,9.07,3.15
257,Leningradskiy,99,RU,0,96,69.38,178.42,0.07,0.81
258,Lompoc,90,US,1559220655,100,34.64,-120.46,16.11,3.1
259,Charters Towers,100,AU,1559248947,37,-20.07,146.27,18.07,5.7
260,Tarakan,100,ID,1559253501,84,3.3,117.63,26.77,1.12
261,Thinadhoo,100,MV,1559178090,82,0.53,72.93,27.37,5.6
262,Boali,75,CF,1559190836,69,4.81,18.11,28.0,4.1
263,Abu Dhabi,0,AE,1559180065,44,24.47,54.37,35.0,2.6
264,Ladnun,59,IN,1559174870,13,27.64,74.39,38.47,3.33
265,Nhamunda,95,BR,1559209467,56,-2.19,-56.71,32.27,1.78
266,Astoria,90,US,1559219331,87,46.19,-123.83,13.33,2.1
267,Belmonte,0,PT,1559192572,22,40.36,-7.35,30.56,2.24
268,Belaya Gora,54,RU,0,81,68.54,146.19,9.97,1.29
269,Seydi,100,NE,1559192477,24,13.34,7.75,37.37,2.5
270,Warkworth,29,NZ,1559244185,77,-36.4,174.66,17.22,4.6
271,Necochea,100,AR,1559214120,62,-38.55,-58.74,11.67,0.45
272,Verkhnyaya Inta,17,RU,1559164888,81,65.99,60.32,1.37,4.98
273,Kamenka,0,RU,1559177146,24,53.19,44.05,28.89,3.2
274,Bethel,90,US,1559223083,81,60.79,-161.76,9.0,3.1
275,Meadow Lake,90,CA,1559213396,71,54.13,-108.44,11.0,3.6
276,San Juan,75,PR,1559209663,74,18.47,-66.12,28.0,2.1
277,Mandalgovi,95,MN,1559250591,31,45.76,106.27,12.97,3.43
278,Pachino,20,IT,1559187808,64,36.72,15.09,20.0,3.6
279,Umiray,97,PH,1559251401,84,15.22,121.41,26.17,2.05
280,Hamilton,75,BM,1559207638,78,32.3,-64.78,26.0,5.1
281,Treinta y Tres,100,UY,1559212286,73,-33.23,-54.39,12.87,5.6
282,Kulhudhuffushi,99,MV,1559177470,78,6.62,73.07,29.67,4.88
283,Sola,40,NO,1559184023,71,58.89,5.65,11.0,8.2
284,Nampula,20,MZ,1559187695,69,-15.12,39.26,23.0,1.5
285,Pandan,100,PH,1559251600,75,11.72,122.09,29.57,5.63
286,Akhtanizovskaya,0,RU,1559180921,69,45.32,37.1,25.0,2.0
287,Hailin,0,CN,1559245308,62,44.57,129.38,8.07,2.5
288,Santa Isabel do Rio Negro,100,BR,1559211291,58,-0.41,-65.02,31.57,1.44
289,Richards Bay,0,ZA,1559190946,60,-28.77,32.06,20.67,1.59
290,La Palma,100,CO,1559212984,70,5.36,-74.39,27.57,1.64
291,Lillehammer,37,NO,1559181595,95,61.11,10.47,8.89,2.24
292,Volkhovskiy,0,RU,1559178025,54,58.58,31.32,11.37,0.34
293,Te Anau,51,NZ,1559247426,95,-45.41,167.72,0.77,1.06
294,Bandar-e Lengeh,0,IR,1559179688,74,26.56,54.88,30.0,5.1
295,Moron de la Frontera,0,ES,1559192671,24,37.12,-5.45,33.0,5.7
296,Coruripe,8,BR,1559205305,64,-10.12,-36.18,28.57,5.37
297,Ketchikan,1,US,1559218516,59,55.34,-131.65,16.0,4.1
298,Birjand,20,IR,1559177805,37,32.86,59.22,22.0,4.1
299,Kushima,99,JP,1559247086,71,31.5,131.29,20.56,1.22
300,Kaeo,1,NZ,1559244204,92,-35.1,173.78,15.56,6.44
301,Didwana,29,IN,1559174855,13,27.4,74.58,38.27,2.94
302,Bethal,0,ZA,1559191286,42,-26.46,29.47,10.56,1.11
303,Airai,15,TL,1559252815,74,-8.93,125.41,23.57,4.22
304,Konin,1,PL,1559183642,43,52.23,18.25,18.89,1.5
305,Surt,0,LY,1559188267,86,31.21,16.59,20.47,5.62
306,College,90,US,1559216289,58,64.86,-147.8,16.11,2.15
307,Culebra,90,US,1559217124,48,34.68,-105.77,18.0,6.2
308,Marienburg,75,DE,1559185660,68,52.12,9.98,20.0,5.7
309,Pangnirtung,20,CA,1559194771,51,66.15,-65.72,1.0,5.1
310,Homagama,40,LK,1559175785,84,6.84,80.0,30.0,6.2
311,Banda Aceh,100,ID,1559172233,76,5.56,95.32,29.07,4.91
312,Saldanha,0,PT,1559192184,23,41.42,-6.55,28.97,0.58
313,Pocone,22,BR,1559210829,34,-16.26,-56.62,34.27,3.99
314,Abapo,20,BO,1559212742,34,-18.83,-63.47,34.67,3.8
315,Havre-Saint-Pierre,75,CA,1559203864,57,50.23,-63.6,10.0,7.7
316,Tahe,49,CN,1559244418,93,52.34,124.71,3.97,2.14
317,Lake Cowichan,20,CA,1559218743,72,48.82,-124.05,18.89,2.1
318,Adeje,100,NG,1559193716,88,5.68,5.76,25.47,3.49
319,Ribas do Rio Pardo,1,BR,1559210585,48,-20.45,-53.76,30.27,5.32
320,Rio Grande,75,BR,1559211573,72,-32.03,-52.1,18.0,4.1
321,Alekseyevsk,100,RU,1559246231,88,57.84,108.35,7.07,2.56
322,Georgetown,75,GY,1559208949,78,6.8,-58.16,31.0,2.1
323,Mogadishu,87,SO,1559184567,80,2.04,45.34,26.67,5.32
324,Maumere,68,ID,1559253551,74,-8.63,122.22,26.57,4.62
325,Fortuna,0,ES,1559191459,49,38.18,-1.13,25.0,3.6
326,Nizhniy Odes,71,RU,1559169019,96,63.64,54.86,9.17,1.96
327,Tabou,100,CI,1559196987,90,4.42,-7.36,25.37,2.49
328,Palmer,75,AU,1559252480,76,-34.85,139.16,12.22,2.1
329,Santa Cruz,90,US,1559220667,87,36.97,-122.03,16.67,2.1
330,Kostomuksha,49,RU,1559173873,48,64.59,30.6,12.37,3.22
331,Boguchany,99,RU,1559162266,60,58.38,97.46,14.77,1.94
332,Tura,3,IN,1559171338,88,25.52,90.21,25.17,2.94
333,Atasu,0,KZ,1559171839,47,48.68,71.64,16.37,5.88
334,Itoman,75,JP,1559248662,83,26.12,127.67,24.0,2.1
335,Rafaela,76,AR,1559213724,82,-31.25,-61.49,15.0,0.89
336,Shumskiy,5,RU,1559249699,54,54.83,99.13,13.07,2.46
337,San Isidro,100,PH,1559251188,88,16.74,121.63,24.97,0.58
338,Udachnyy,0,RU,1559237747,45,66.42,112.4,8.0,2.0
339,Yangjiang,85,CN,1559252942,96,21.85,111.96,23.17,1.03
340,Vanimo,74,PG,1559248395,79,-2.67,141.3,28.47,6.26
341,Lasa,20,CY,1559183905,26,34.92,32.53,30.0,2.6
342,Luwuk,100,ID,1559252672,99,-0.95,122.79,18.77,1.58
343,Margate,40,AU,1559251873,93,-43.03,147.26,10.56,3.1
344,Oksfjord,75,NO,0,81,70.24,22.35,6.0,3.6
345,La Ronge,90,CA,1559212289,75,55.1,-105.3,7.0,3.6
346,Njombe,71,TZ,1559188198,94,-9.34,34.77,16.37,1.09
347,Norrtalje,0,SE,1559180430,54,59.76,18.7,14.0,9.8
348,Denpasar,40,ID,1559255234,74,-8.65,115.22,27.0,5.7
349,Teya,75,MX,1559214884,50,21.05,-89.07,35.56,7.7
350,Anadyr,69,RU,1559224751,100,64.73,177.51,-1.0,1.96
351,Odienne,42,CI,1559196540,67,9.51,-7.57,29.17,3.64
352,Ancud,90,CL,1559218304,100,-41.87,-73.83,9.0,2.1
353,La Rioja,62,AR,1559214776,66,-29.41,-66.86,12.77,3.06
354,Ola,100,RU,1559235047,83,59.58,151.3,5.97,4.52
355,Napoleon,15,US,1559213488,44,46.5,-99.77,26.27,3.54
356,Agirish,100,RU,1559168450,87,61.92,63.02,10.57,0.92
357,Grand Gaube,20,MU,1559183790,73,-20.01,57.66,21.0,1.5
358,Panguipulli,75,CL,1559217560,93,-39.64,-72.33,15.0,4.1
359,Manaus,75,BR,1559210341,83,-3.13,-59.98,28.0,1.0
360,Paita,40,PE,1559215602,290,-5.09,-81.11,17.0,7.7
361,Winnemucca,90,US,1559218944,93,40.97,-117.74,12.0,3.1
362,Ingham,83,AU,1559248821,98,-18.65,146.16,18.07,1.21
363,Petropavlovsk-Kamchatskiy,90,RU,1559236048,100,53.05,158.65,4.0,2.0
364,Gazli,31,UZ,1559175627,27,40.13,63.45,28.77,7.25
365,Constitucion,5,MX,1559218287,13,23.99,-104.67,25.0,5.82
366,Almaznyy,0,RU,1559179583,45,48.03,40.04,29.0,4.0
367,Brae,21,GB,1559184868,61,60.4,-1.35,9.0,6.7
368,Serebryansk,82,KZ,1559168779,94,49.68,83.3,12.07,0.31
369,Taoudenni,6,ML,1559194278,10,22.68,-3.98,40.57,3.57
370,Bandraboua,75,YT,1559186045,78,-12.7,45.12,27.0,5.1
371,Padang,40,ID,1559258053,94,-0.92,100.36,26.0,1.0
372,Oksbol,100,DK,1559184845,93,55.63,8.29,13.89,6.7
373,Portland,90,US,1559219204,82,45.52,-122.67,15.0,2.6
374,Clyde River,20,CA,0,80,70.47,-68.59,2.0,1.0
